restaurant,cuisine,stars,long,lat,lower_price,higher_price
Pelagos,Seafood,1,23.7283052,37.9839412,84.0,162.75
Botrini's,Mediterranean Cuisine,1,23.7283052,37.9839412,94.5,126.0
Hytra,Modern Cuisine,1,23.75515996884273,37.99485995000001,57.75,94.5
CTC,Modern Cuisine,1,23.7164325,37.9811288,75.6,75.6
Varoulko Seaside,Seafood,1,23.7283052,37.9839412,45.15,63.0
Primo Restaurant,Mediterranean Cuisine,1,18.1718482,40.3570373,73.5,115.5
Bros',Creative,1,18.1718482,40.3570373,136.5,210.0
Casamatta,Modern Cuisine,1,17.633511,40.401825,63.0,115.5
Pietramare Natural Food,Creative,1,17.0821735,38.9603416,52.5,126.0
Già Sotto l'Arco,Creative,1,17.6594048,40.7085624,73.5,147.0
Dattilo,Creative,1,17.08671,39.2689,78.75,126.0
Cielo,Creative,1,17.5779612,40.7342943,73.5,168.0
Due Camini,Modern Cuisine,1,17.4089613,40.8730304,147.0,210.0
Abbruzzino,Modern Cuisine,1,16.5960465,38.9076353,78.75,115.5
Hyle,Modern Cuisine,1,16.6973766,39.2529756,42.0,115.5
Gambero Rosso,Seafood,1,16.3270564,38.2987844,60.9,136.5
Angelo Sabatelli,Modern Cuisine,1,17.121294,40.85183,78.75,168.0
Pashà,Modern Cuisine,1,17.1137706,40.9683956,68.25,157.5
Restaurant 360,Modern Cuisine,1,18.1106418,42.6410712,79.77,139.59
Luigi Lepore,Modern Cuisine,1,16.3021451,38.9645069,57.75,78.75
Qafiz,Modern Cuisine,1,15.970499,38.255372,94.5,126.0
Vitantonio Lombardo,Creative,1,16.6103676,40.6684321,94.5,157.5
Casa Sgarra,Creative,1,16.4162585,41.275088,52.5,89.25
Quintessenza,Contemporary,1,16.4154855,41.2811877,89.25,126.0
La Capinera,Creative,1,15.2997643,37.8583855,73.5,110.25
Otto Geleng,Mediterranean Cuisine,1,15.291152,37.8520956,126.0,157.5
St. George by Heinz Beck,Creative,1,15.2900234,37.8554744,152.25,178.5
Zash,Creative,1,15.6653777,38.1220475,73.5,168.0
Shalai,Modern Cuisine,1,15.1421214,37.8432102,54.6,136.5
Sapio,Modern Cuisine,1,15.1041872,37.5157251,81.9,126.0
LD Restaurant,Mediterranean Cuisine,1,17.1369472,42.9617461,64.1,138.17
Don Alfonso 1890 San Barbato,Modern Cuisine,1,15.8184785,41.0684625,73.5,105.0
Il Cappero,Mediterranean Cuisine,1,14.9594972,38.4475135,147.0,168.0
Accursio,Creative,1,14.7608612,36.8602035,99.75,147.0
Locanda Don Serafino,Modern Cuisine,1,14.7213455,36.9219828,57.75,173.25
Signum,Contemporary,1,14.83589060715635,38.55904115,78.75,168.0
Porta di Basso,Seafood,1,16.0131105,41.9490985,73.5,84.0
Noni,Modern Cuisine,1,4.2937719,52.0854614,56.7,84.0
Under Grain,Modern Cuisine,1,14.5136759,35.8989818,73.5,99.75
ION - The Harbour,Mediterranean Cuisine,1,4.2937719,52.0854614,57.75,131.25
Coria,Modern Cuisine,1,14.55005040700092,37.17936105,47.25,105.0
Bahia,Creative,1,14.4476136,35.901766,39.9,84.0
De Mondion,Modern Cuisine,1,14.4660282,35.8752117,73.5,100.8
Le Trabe,Modern Cuisine,1,15.0069514,40.4238379,73.5,109.2
Oasis - Sapori Antichi,Campanian,1,14.97174550715888,40.93155146875,26.25,80.85
Il Papavero,Regional Cuisine,1,15.0558789,40.6182159,42.0,65.1
Osteria Arbustico,Modern Cuisine,1,15.0069514,40.4238379,73.5,99.75
Re Maurì,Creative,1,14.7376756,40.6759147,74.55,115.5
Il Faro di Capo d'Orso,Creative,1,14.64291077579654,40.65235025,73.5,157.5
Il Flauto di Pan,Creative,1,14.6122753,40.6496643,94.5,199.5
Rossellinis,Modern Cuisine,1,14.6128598,40.650101,115.5,189.0
La Caravella dal 1959,Campanian,1,14.6011536,40.6336832,63.0,189.0
Glicine,Mediterranean Cuisine,1,14.6026095,40.63367,105.0,178.5
Il Refettorio,Mediterranean Cuisine,1,14.576021,40.6200066,84.0,131.25
Zass,Modern Cuisine,1,14.4854955,40.6286581,136.5,189.0
Li Galli,Modern Cuisine,1,14.4854955,40.6286581,115.5,210.0
La Serra,Modern Cuisine,1,14.4854955,40.6286581,105.0,189.0
Piazzetta Milù,Creative,1,14.4830412,40.7012623,115.5,136.5
President,Mediterranean Cuisine,1,14.5006415,40.7491267,57.75,115.5
Cannavacciuolo Countryside,Mediterranean Cuisine,1,14.4539381,40.6453842,84.0,105.0
Antica Osteria Nonna Rosa,Modern Cuisine,1,14.4263825,40.6622961,63.0,126.0
Maxi,Creative,1,14.4263825,40.6622961,73.5,157.5
Re Santi e Leoni,Contemporary,1,14.5247785,40.9294385,68.25,115.5
Rear Restaurant,Modern Cuisine,1,14.5327402,40.9210826,52.5,126.0
Don Geppi,Modern Cuisine,1,14.3936757,40.6315514,75.6,147.0
Lorelei,Mediterranean Cuisine,1,14.374836,40.624906,63.0,157.5
Terrazza Bosquet,Creative,1,14.37564957435246,40.62833925,105.0,157.5
Il Buco,Mediterranean Cuisine,1,14.374836,40.624906,94.5,126.0
Taverna del Capitano,Creative,1,14.3568029,40.5834811,73.5,157.5
Contaminazioni Restaurant,Italian Contemporary,1,14.4428569,40.880005,52.5,105.0
Josè Restaurant - Tenuta Villa Guerra,Modern Cuisine,1,14.3981369,40.774443,73.5,94.5
Relais Blu,Mediterranean Cuisine,1,14.3397412,40.5908014,65.1,96.6
La Locanda del Borgo,Creative,1,14.5270004,41.2164141,94.5,126.0
Le Monzù,Modern Cuisine,1,14.2492527,40.5478458,94.5,210.0
Mammà,Creative,1,14.2428595,40.550451,84.0,157.5
Pelegrini,Modern Cuisine,1,15.66301297126069,43.82167415,108.25,136.03
Il Comandante,Creative,1,14.2550019,40.8394142,99.75,183.75
ARIA,Contemporary,1,14.2541143,40.8432986,89.25,126.0
Al Metrò,Modern Cuisine,1,14.63363192088713,41.95694416145658,63.0,105.0
Veritas,Modern Cuisine,1,14.2370281,40.8393481,73.5,105.0
George Restaurant,Contemporary,1,14.2370281,40.8393481,94.5,157.5
Palazzo Petrucci,Creative,1,14.2487826,40.8359336,78.75,157.5
I Pupi,Modern Cuisine,1,13.5109808,38.0828994,36.75,136.5
Sud,Modern Cuisine,1,14.1401591,40.8771936,63.0,105.0
Caracol,Modern Cuisine,1,14.0869382,40.7942992,115.5,136.5
Gagini Restaurant,Creative,1,13.3107090155917,38.13724645,57.75,115.5
Indaco,Creative,1,13.88464163393207,40.7539568,94.5,152.25
Costes,Modern Cuisine,1,19.0622918,47.488785,75.4,75.4
Salt,Hungarian,1,19.0591496,47.4903957,68.9,68.9
Babel,Modern Cuisine,1,19.0521085,47.4928557,77.74,77.74
Stand,Modern Cuisine,1,19.05960834948544,47.5000411,42.9,42.9
